S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
S1_X_g,S1_Y_g,S1_Z_g,S2_X_g,S2_Y_g,S2_Z_g
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0120,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0480,0.0520,-0.0040,1.0880,-0.2200
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0520,0.0000,1.0920,-0.2120
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2280
0.0160,1.0520,0.0520,0.0000,1.0920,-0.2120
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0200,1.0600,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0600,0.0440,0.0000,1.0920,-0.2200
0.0200,1.0560,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,0.0000,1.0880,-0.2080
0.0160,1.0640,0.0520,0.0000,1.0920,-0.2160
0.0120,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0200,1.0480,0.0480,-0.0040,1.0880,-0.2160
0.0200,1.0480,0.0480,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2120
0.0120,1.0560,0.0440,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0440,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2120
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2160
0.0120,1.0600,0.0520,-0.0080,1.0920,-0.2120
0.0160,1.0640,0.0440,0.0000,1.0880,-0.2240
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0480,0.0520,0.0000,1.0920,-0.2240
0.0160,1.0440,0.0520,-0.0040,1.0920,-0.2120
0.0120,1.0520,0.0480,-0.0080,1.0960,-0.2160
0.0120,1.0560,0.0520,0.0000,1.0920,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0200,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0520,0.0000,1.0880,-0.2160
0.0120,1.0600,0.0520,-0.0040,1.0880,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0600,0.0480,-0.0040,1.0920,-0.2200
0.0120,1.0480,0.0520,-0.0040,1.0920,-0.2200
0.0120,1.0520,0.0520,0.0000,1.0880,-0.2120
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2240
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0520,0.0000,1.0880,-0.2200
0.0120,1.0560,0.0440,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2120
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2120
0.0160,1.0600,0.0480,-0.0040,1.0960,-0.2120
0.0120,1.0600,0.0440,0.0000,1.0920,-0.2160
0.0120,1.0480,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0520,0.0520,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0560,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0960,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0960,-0.2200
0.0200,1.0560,0.0520,0.0000,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2120
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2200
0.0120,1.0640,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0640,0.0400,0.0000,1.0880,-0.2160
0.0160,1.0480,0.0480,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0480,0.0480,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0200,1.0560,0.0440,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0600,0.0520,-0.0040,1.0920,-0.2120
0.0160,1.0600,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0600,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0120,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0120,1.0520,0.0480,0.0000,1.0960,-0.2160
0.0120,1.0520,0.0480,-0.0040,1.0840,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2240
0.0200,1.0520,0.0400,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,0.0000,1.0880,-0.2200
0.0200,1.0560,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0080,1.0840,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2200
0.0200,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0600,0.0480,0.0000,1.0920,-0.2200
0.0200,1.0480,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0480,0.0480,-0.0040,1.0880,-0.2200
0.0120,1.0480,0.0520,-0.0040,1.0880,-0.2120
0.0080,1.0560,0.0440,0.0000,1.0960,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0200,1.0520,0.0480,-0.0040,1.0880,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2240
0.0160,1.0560,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0480,0.0040,1.0880,-0.2160
0.0200,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0240,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0600,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2240
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0200,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0960,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0840,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0640,0.0480,-0.0040,1.0920,-0.2200
0.0080,1.0560,0.0440,-0.0040,1.0920,-0.2160
0.0120,1.0480,0.0480,-0.0040,1.0920,-0.2120
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0200,1.0520,0.0480,0.0000,1.0960,-0.2200
0.0120,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0560,0.0400,0.0000,1.0920,-0.2200
0.0200,1.0560,0.0440,0.0000,1.0920,-0.2200
0.0200,1.0560,0.0440,-0.0040,1.0880,-0.2200
0.0200,1.0600,0.0440,-0.0040,1.0880,-0.2240
0.0080,1.0520,0.0480,-0.0040,1.0920,-0.2120
0.0120,1.0480,0.0560,0.0000,1.0880,-0.2240
0.0200,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0880,-0.2200
0.0160,1.0560,0.0520,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0520,-0.0080,1.0920,-0.2160
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0600,0.0480,-0.0040,1.0840,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0960,-0.2200
0.0200,1.0600,0.0440,-0.0040,1.0880,-0.2200
0.0120,1.0480,0.0520,-0.0040,1.0880,-0.2120
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2120
0.0160,1.0480,0.0520,-0.0040,1.0880,-0.2160
0.0200,1.0480,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0480,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0120,1.0560,0.0520,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0520,0.0000,1.0920,-0.2120
0.0160,1.0520,0.0480,-0.0040,1.0880,-0.2160
0.0120,1.0600,0.0520,-0.0040,1.0920,-0.2240
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0520,0.0000,1.0880,-0.2120
0.0200,1.0560,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0640,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0480,0.0440,-0.0040,1.0920,-0.2200
0.0160,1.0480,0.0440,-0.0040,1.0880,-0.2160
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0520,0.0000,1.0920,-0.2160
0.0120,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0440,0.0000,1.0920,-0.2200
0.0160,1.0600,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,0.0000,1.0880,-0.2200
0.0200,1.0600,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0840,-0.2160
0.0200,1.0600,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2200
0.0120,1.0520,0.0520,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0440,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0440,0.0000,1.0880,-0.2120
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,0.0040,1.0960,-0.2160
0.0160,1.0520,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0440,-0.0040,1.0880,-0.2200
0.0160,1.0560,0.0520,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,0.0000,1.0920,-0.2240
0.0200,1.0640,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,-0.0040,1.0880,-0.2200
0.0120,1.0480,0.0480,0.0040,1.0920,-0.2120
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0480,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2120
0.0120,1.0600,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0960,-0.2160
0.0200,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2120
0.0160,1.0640,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0520,-0.0040,1.0880,-0.2200
0.0120,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0440,0.0040,1.0880,-0.2160
0.0160,1.0480,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0480,0.0440,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0440,-0.0040,1.0920,-0.2120
0.0120,1.0560,0.0440,-0.0040,1.0880,-0.2080
0.0200,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0200,1.0600,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0600,0.0520,-0.0040,1.0920,-0.2200
0.0200,1.0640,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0480,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2040
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2160
0.0200,1.0520,0.0440,-0.0040,1.0880,-0.2200
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2200
0.0200,1.0600,0.0440,0.0000,1.0920,-0.2160
0.0200,1.0600,0.0440,0.0000,1.0880,-0.2120
0.0200,1.0600,0.0520,-0.0040,1.0880,-0.2160
0.0200,1.0480,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0480,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2120
0.0160,1.0520,0.0440,0.0000,1.0880,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2120
0.0160,1.0560,0.0520,-0.0040,1.0880,-0.2160
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2200
0.0160,1.0600,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2200
0.0200,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0440,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2120
0.0160,1.0480,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0520,0.0000,1.0880,-0.2200
0.0160,1.0480,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0520,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0480,-0.0040,1.0920,-0.2120
0.0200,1.0560,0.0520,0.0000,1.0920,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0600,0.0520,-0.0080,1.0920,-0.2160
0.0120,1.0480,0.0560,-0.0040,1.0880,-0.2120
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2120
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2120
0.0200,1.0520,0.0440,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0640,0.0520,-0.0040,1.0920,-0.2200
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0600,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0520,-0.0040,1.0920,-0.2120
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0120,1.0520,0.0520,0.0000,1.0880,-0.2200
0.0160,1.0520,0.0520,0.0000,1.0960,-0.2160
0.0120,1.0480,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0440,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0600,0.0440,0.0000,1.0880,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0440,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0440,-0.0040,1.0920,-0.2200
0.0160,1.0640,0.0440,0.0000,1.0920,-0.2160
0.0120,1.0480,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2240
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0120,1.0560,0.0520,0.0000,1.0840,-0.2160
0.0160,1.0520,0.0480,-0.0040,1.0880,-0.2120
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0240,1.0560,0.0480,0.0000,1.0920,-0.2240
0.0200,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2120
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0640,0.0520,0.0000,1.0920,-0.2160
0.0160,1.0440,0.0480,0.0000,1.0920,-0.2160
0.0120,1.0520,0.0440,0.0000,1.0920,-0.2200
0.0120,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0560,-0.0040,1.0920,-0.2240
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0520,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,-0.0040,1.0880,-0.2200
0.0240,1.0560,0.0440,0.0000,1.0960,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0640,0.0520,0.0000,1.0920,-0.2120
0.0120,1.0480,0.0480,-0.0040,1.0880,-0.2200
0.0120,1.0560,0.0520,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0480,-0.0080,1.0960,-0.2160
0.0120,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0120,1.0480,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0240,1.0520,0.0440,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2120
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0640,0.0440,-0.0040,1.0920,-0.2160
0.0200,1.0640,0.0480,0.0000,1.0920,-0.2280
0.0160,1.0440,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0480,0.0560,-0.0040,1.0880,-0.2240
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0080,1.0920,-0.2040
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,-0.0040,1.0920,-0.2200
0.0120,1.0600,0.0520,-0.0040,1.0880,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0920,-0.2120
0.0200,1.0600,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0200,1.0640,0.0480,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0480,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0440,-0.0040,1.0920,-0.2120
0.0160,1.0560,0.0440,0.0000,1.0920,-0.2160
0.0200,1.0520,0.0440,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2120
0.0120,1.0520,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0560,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0880,-0.2200
0.0200,1.0560,0.0440,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2120
0.0120,1.0440,0.0520,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0480,0.0520,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0120,1.0560,0.0480,-0.0080,1.0880,-0.2200
0.0200,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0600,0.0440,-0.0080,1.0880,-0.2240
0.0160,1.0560,0.0400,0.0000,1.0880,-0.2160
0.0200,1.0640,0.0480,-0.0040,1.0880,-0.2200
0.0200,1.0600,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0440,0.0560,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0880,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0440,-0.0040,1.0920,-0.2120
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2240
0.0200,1.0600,0.0400,0.0000,1.0880,-0.2240
0.0160,1.0600,0.0480,-0.0040,1.0960,-0.2120
0.0160,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0120,1.0480,0.0440,-0.0040,1.0880,-0.2160
0.0120,1.0560,0.0520,0.0000,1.0920,-0.2160
0.0200,1.0520,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0520,0.0480,0.0000,1.0960,-0.2160
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2160
0.0120,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0560,0.0440,0.0000,1.0880,-0.2160
0.0240,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0560,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0600,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0600,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2200
0.0120,1.0520,0.0520,-0.0040,1.0880,-0.2160
0.0160,1.0480,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0520,0.0520,-0.0040,1.0880,-0.2200
0.0200,1.0520,0.0440,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0440,-0.0040,1.0920,-0.2240
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0840,-0.2160
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0120,1.0600,0.0480,0.0000,1.0880,-0.2160
0.0200,1.0520,0.0440,0.0000,1.0920,-0.2200
0.0200,1.0560,0.0480,0.0000,1.0920,-0.2160
0.0200,1.0600,0.0480,0.0000,1.0880,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0960,-0.2120
0.0120,1.0520,0.0480,0.0000,1.0920,-0.2200
0.0120,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0480,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0520,0.0560,0.0000,1.0880,-0.2200
0.0160,1.0520,0.0520,0.0000,1.0880,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0880,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0440,-0.0040,1.0880,-0.2160
0.0160,1.0600,0.0440,-0.0040,1.0920,-0.2200
0.0200,1.0600,0.0480,-0.0040,1.0920,-0.2240
0.0200,1.0600,0.0520,-0.0040,1.0880,-0.2120
0.0120,1.0600,0.0520,-0.0040,1.0920,-0.2160
0.0120,1.0520,0.0480,0.0000,1.0880,-0.2120
0.0160,1.0520,0.0520,0.0000,1.0920,-0.2200
0.0160,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0520,0.0520,0.0000,1.0920,-0.2160
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2120
0.0120,1.0520,0.0440,-0.0040,1.0920,-0.2120
0.0120,1.0560,0.0480,-0.0040,1.0880,-0.2200
0.0120,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0960,-0.2160
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2200
0.0160,1.0560,0.0480,0.0000,1.0920,-0.2120
0.0160,1.0560,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0600,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0640,0.0480,-0.0040,1.0880,-0.2160
0.0160,1.0480,0.0520,0.0000,1.0880,-0.2120
0.0160,1.0520,0.0480,0.0000,1.0920,-0.2240
0.0160,1.0520,0.0440,0.0000,1.0920,-0.2160
0.0160,1.0600,0.0520,0.0000,1.0920,-0.2160
0.0160,1.0480,0.0520,-0.0040,1.0880,-0.2120
0.0120,1.0520,0.0520,-0.0040,1.0920,-0.2160
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2160
0.0200,1.0520,0.0480,-0.0040,1.0920,-0.2200
0.0200,1.0560,0.0440,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0480,-0.0040,1.0920,-0.2200
0.0160,1.0560,0.0520,-0.0040,1.0880,-0.2160
0.0200,1.0560,0.0520,-0.0040,1.0880,-0.2200
0.0160,1.0600,0.0400,0.0000,1.0920,-0.2200
